Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2024-02-19 10:22:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7165289616864997377,View my verified achievement from Cisco.,https://www.credly.com/badges/a460db44-be59-4f46-ad43-44bfdf4146b0/linked_in?t=s93m61,,MEMBER_NETWORK
2024-01-01 14:46:57,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7147599083493294080,I’m happy to share that I’m starting a new position as BI intern at InfoVision Inc.! ,,,MEMBER_NETWORK
2023-11-03 10:14:24,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7126149606211502080,I’m happy to share that I’ve obtained a new certification: Node.js from Etrain Education Pvt Ltd! power by IBM Development skills Network,,,MEMBER_NETWORK
2023-08-25 13:36:27,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7100833306853744640,"I am thrilled to share that I have successfully cleared the SQL while pursuing Certification in Full Stack Data Science and AI program at #AlmaBetter. ""
""https://almabetter.com to accelerate your career. ""
""#Certification in Full Stack Data Science and AI #AlmaBetter #LearningWithAlmaBetter",,,MEMBER_NETWORK
2023-08-25 13:36:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7100833228755804161,"I am thrilled to share that I have successfully cleared the  while pursuing Certification in Full Stack Data Science and AI program at #AlmaBetter. ""
""https://almabetter.com to accelerate your career. ""
""#Certification in Full Stack Data Science and AI #AlmaBetter #LearningWithAlmaBetter",,,MEMBER_NETWORK
2023-07-30 13:49:07,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7091414411348742144,"Hi everyone - I am looking for a new role and would appreciate your support. Thank you in advance for any connections, advice, or opportunities you can offer. #OpenToWork",,,MEMBER_NETWORK
2023-07-24 03:43:08,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7089087582579421184,,,,MEMBER_NETWORK
2023-06-19 06:43:19,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7076449348133208065,,,,MEMBER_NETWORK
2023-01-03 21:07:08,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7016147964976910336,Check out my verified certificate/badge issued by AlmaBetter Edutech Pvt. Ltd.,https://certificates.almabetter.com/en/verify/70166884675134,https://verified-bucket.s3.eu-central-1.amazonaws.com/resize/70166884675134_1672763912658_1200x566.png,MEMBER_NETWORK
2022-12-02 20:18:43,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7004539369734774784,Check out my verified certificate/badge issued by AlmaBetter Edutech Pvt. Ltd.,https://certificates.almabetter.com/en/verify/78022655832242,https://verified-bucket.s3.eu-central-1.amazonaws.com/resize/78022655832242_1670012326186_1200x566.png,MEMBER_NETWORK
2021-01-11 13:07:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6754383189923524608,Check this out on LinkedIn Learning! #webdevelopment #softwaredevelopment #fullstackdevelopment #backendwebdevelopment #frontenddevelopment,,,MEMBER_NETWORK
2021-01-07 18:07:24,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6753009141876449280,Check this out on LinkedIn Learning! #webdevelopment #softwaredevelopment #fullstackdevelopment #backendwebdevelopment #frontenddevelopment,,,MEMBER_NETWORK
2020-07-13 21:31:06,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6688555364818022400,"Hi everyone - I am looking for a new role and would appreciate your support. Thank you in advance for any connections, advice, or opportunities you can offer. #OpenToWork""
""",,,MEMBER_NETWORK
